"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "XML", "CSS", "HTML", "SCSS", "comment", "blank", "total"
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\master\warehouse-operation-capacity.model.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\master\warehouse.model.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 9, 57
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\menu\app-menu.model.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 61
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\menu\auth-menu.model.ts", "TypeScript", 0, 0, 0, 181, 0, 0, 0, 0, 0, 17, 24, 222
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\menu\menuchangeevent.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\page-result.model.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\queuemanage\manage-queue.model.ts", "TypeScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 5, 84
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\queuemanage\queue-action.model.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\report\report-dockdoorcontrol.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\report\report-gatepass.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
